name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2018-06-17,89,66.9,77.2,87.3,66.9,76.8,56.9,51.5,0,0,0,,0,0,21.9,7.2,214.6,1018.2,0.7,9.9,315,27.2,9,,2018-06-17T05:24:26,2018-06-17T20:29:37,0.13,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-18,89.9,71.2,79.3,96.2,71.2,81.6,68.2,70.2,0.084,100,12.5,rain,0,0,24.9,15,209.7,1015,20.5,9.6,273.5,23.6,9,,2018-06-18T05:24:33,2018-06-18T20:29:55,0.17,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-19,89.8,74.2,81.2,88,74.2,81.4,64.1,60.4,0.013,100,12.5,rain,0,0,25.3,13.9,335.5,1008.8,28.2,9.9,301.4,25.9,10,,2018-06-19T05:24:41,2018-06-19T20:30:12,0.2,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-20,81.9,71,75.6,83.7,71,75.8,58.5,56.2,0,0,0,,0,0,18.3,5.5,58.1,1011,32.9,9.9,268.7,23.1,9,,2018-06-20T05:24:51,2018-06-20T20:30:26,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
New York,2018-06-21,85.9,65.9,75.1,84.6,65.9,75.1,62.7,69.1,0.217,100,41.67,rain,0,0,,8.1,49.4,1008.4,55.2,9.3,284.3,24.6,9,,2018-06-21T05:25:03,2018-06-21T20:30:39,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-22,74.9,66.9,70.1,74.9,66.9,70.1,61.7,75.3,0,0,0,,0,0,17.2,9.3,85,1015.2,49.2,9.9,197.4,17.1,6,,2018-06-22T05:25:17,2018-06-22T20:30:50,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-23,67.9,64,65.8,67.9,64,65.8,59.2,79.4,0.023,100,12.5,rain,0,0,19.7,11.3,63,1011.9,100,9.8,76.8,6.4,2,,2018-06-23T05:25:33,2018-06-23T20:30:59,0.34,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"D9152,72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
New York,2018-06-24,83.7,66.8,74.4,86.4,66.8,75.6,66,76.6,0,0,0,,0,0,24.2,6.5,212.3,1009.8,73.1,9.2,221.7,19.2,9,,2018-06-24T05:25:50,2018-06-24T20:31:06,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
New York,2018-06-25,83.7,69.1,75.7,81.9,69.1,75.4,56.9,55.6,0.018,100,8.33,rain,0,0,27.7,11.3,350.2,1016.2,27.2,9.9,305.6,26.5,10,,2018-06-25T05:26:10,2018-06-25T20:31:12,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-26,76.9,65.7,71.3,76.9,65.7,71.3,56.9,61.6,0,0,0,,0,0,23,15,112.7,1023.8,5,9.9,315.5,27.3,9,,2018-06-26T05:26:31,2018-06-26T20:31:15,0.45,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-27,73.9,66,70,73.9,66,70,61.5,74.7,0.002,100,8.33,rain,0,0,27.7,19.7,178.4,1018.4,75,9.9,84.9,7.3,3,,2018-06-27T05:26:53,2018-06-27T20:31:16,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
New York,2018-06-28,83.8,70,75.3,88.8,70,76.2,70.3,85.3,0.223,100,45.83,rain,0,0,21.9,8.5,204.5,1009.6,75.4,9.5,185,16,7,,2018-06-28T05:27:17,2018-06-28T20:31:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-29,92.7,73,81.9,92.8,73,82.3,64,57.8,0.028,100,8.33,rain,0,0,19.7,11.4,318.6,1014,3.6,9.9,321.8,27.6,9,,2018-06-29T05:27:43,2018-06-29T20:31:12,0.55,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-06-30,93.7,74.1,83.7,96,74.1,84.6,62.8,50.6,0,0,0,,0,0,18.3,7.5,269.6,1017.1,0.7,9.9,317.6,27.3,9,,2018-06-30T05:28:11,2018-06-30T20:31:08,0.58,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-07-01,96.1,75.2,85.6,103.9,75.2,89.4,69.7,60.4,0,0,0,,0,0,,7.9,243.9,1016.5,0.5,9.9,271.1,23.4,9,,2018-07-01T05:28:39,2018-07-01T20:31:01,0.62,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-07-02,93.9,78.3,84.5,101.2,78.3,88.4,70.5,63.9,0.01,100,4.17,rain,0,0,24.2,13.9,154.7,1017.8,0.4,9.8,310.8,26.8,9,,2018-07-02T05:29:10,2018-07-02T20:30:52,0.65,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-07-03,91.2,77.1,80.8,104.8,77.1,84.4,74.4,81.3,0.007,100,8.33,rain,0,0,,9.2,114.1,1021.4,12.9,9.3,162.5,14.1,8,,2018-07-03T05:29:42,2018-07-03T20:30:41,0.68,Rain,Clear conditions throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-07-04,87,75.9,80.2,93.2,75.9,82.6,72.5,78.4,0,0,0,,0,0,,5.9,79.2,1025.5,17,9.7,198.5,16.9,9,,2018-07-04T05:30:15,2018-07-04T20:30:28,0.72,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
New York,2018-07-05,88.1,75.1,81.4,96,75.1,85.4,73.4,77.9,0,0,0,,0,0,27.7,16.1,204.4,1024.9,31.4,9.9,255.1,22,8,,2018-07-05T05:30:50,2018-07-05T20:30:13,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"D9152,72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-07-06,82,74,78,84.3,74,78.5,69.5,76.8,0.123,100,25,rain,0,0,21.9,13.9,264,1018.3,58.9,9.5,98.4,8.4,3,,2018-07-06T05:31:26,2018-07-06T20:29:56,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-07-07,78,65.8,70.8,78,65.8,70.8,51.4,50.7,0,0,0,,0,0,23,16.1,53.6,1026.4,0.3,9.9,331.3,28.6,10,,2018-07-07T05:32:03,2018-07-07T20:29:38,0.82,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-07-08,82.9,65.8,73.1,82.5,65.8,73.1,55.1,54.3,0,0,0,,0,0,18.3,11.4,160.6,1027.4,0.3,9.9,325.2,27.8,10,,2018-07-08T05:32:42,2018-07-08T20:29:17,0.85,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-07-09,87.1,68,76.6,86.8,68,76.7,59.2,55.8,0,0,0,,0,0,27.7,8.7,224.6,1022.2,0.2,9.8,319.2,27.4,9,,2018-07-09T05:33:22,2018-07-09T20:28:54,0.88,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
New York,2018-07-10,92,71.1,81.3,92.9,71.1,82,62.7,55.3,0,0,0,,0,0,18.3,10.5,257.5,1013.7,0.4,9.8,314.8,27.1,9,,2018-07-10T05:34:03,2018-07-10T20:28:29,0.92,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
New York,2018-07-11,88,74,79.6,89.7,74,80.7,65.8,63.5,0,0,0,,0,0,17.2,12.8,49.4,1013.6,52.6,9.9,258.5,22.4,9,,2018-07-11T05:34:45,2018-07-11T20:28:02,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-07-12,85.8,70.8,76.4,84.8,70.8,76.3,60.7,60.6,0.037,100,12.5,rain,0,0,,12.8,37,1021.5,45.4,9.9,227.8,19.7,10,,2018-07-12T05:35:28,2018-07-12T20:27:33,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
